probe,symbol,pan1,pan2,blood,skin,liver,kidney,loglin,relative
cg09312038,OGA,,,,,,,0.005169672,0.009004056
cg09377007,gene:ENSHGLG00100020376,,,,,,,-0.230493971,-0.036221009
cg09564832,TENT5A,,,,,,,0.397523404,0.02883669
cg09572652,KLHL29,,,,,,,-0.375004429,-0.017883805
cg16208240,C11orf58,,,,,,,-1.967240301,-0.177259062
cg16286672,FIGN,,,,,,,-0.438741186,-0.041562174
cg09656189,ZSWIM6,,,,,,,0.976256037,0.115828542
cg09689442,AP3B1,,,,,,,-0.0795495,-0.016021461
cg09747999,ZFAND2A,,,,,,,-0.051260051,-0.009833052
cg09761351,PBLD,,,,,,,-3.196833169,-0.210480226
cg09770154,DUSP5,,,,,,,-2.25003023,-0.481539846
cg09786757,CHST8,,,,,,,-0.22429402,-0.024504531
cg09802094,HOXB8,,,,,,,0.159943078,0.001024029
cg09827655,PURA,,,,,,,-0.339000077,-0.065969367
cg10238356,LAMP2,,,,,,,0.087142588,0.011604927
cg10250869,VWC2L,,,,,,,0.505646983,0.152870182
cg10427841,CAMKMT,,,,,,,0.03469813,0.002894437
cg10480998,HOXD4,,,,,,,0.026797335,0.008282948
cg10570730,ZNF536,,,,,,,0.033143593,0.006781882
cg10626997,MDFIC2,,,,,,,-2.086473141,-0.052014518
cg17266697,PPP1R1B,,,,,,,-1.241376637,-0.110092553
cg10654522,GSX2,,,,,,,0.035482276,0.007551172
cg10799141,CNKSR2,,,,,,,0.369132522,0.038504035
cg10801485,ZEB2,,,,,,,0.179445833,0.039320005
cg10820794,LMAN1,,,,,,,-0.058263715,-0.003890563
cg10820947,gene:ENSHGLG00100011058,,,,,,,-0.056269317,-0.004551776
cg10956761,SPRED1,,,,,,,0.338475407,0.022463218
cg11114258,RAI1,,,,,,,-0.088190009,-0.020063911
cg11121987,OPCML,,,,,,,0.208763396,0.010445172
cg11243180,FPGT,,,,,,,0.026245119,0.013196893
cg11275402,ZSWIM8,,,,,,,-0.06560866,-0.001255362
cg11332125,ZBTB7C,,,,,,,1.466333349,0.18403155
cg11383875,DDX17,,,,,,,-0.19981216,-0.044439553
cg11503760,PRPF39,,,,,,,-0.116671489,-0.020319556
cg11610869,IRX6,,,,,,,0.379184465,0.023448719
cg11670972,TFAP2A,,,,,,,-0.116026242,-0.003844935
cg11792642,POLR3A,,,,,,,-0.430982414,-0.033334098
cg11904527,TMTC2,,,,,,,-0.683353117,-0.018348664
cg11974222,TTLL12,,,,,,,-0.495586016,-0.040943904
cg12015981,CYLD,,,,,,,0.213934991,0.036305928
cg12224833,KCNH1,,,,,,,0.278873229,0.004714105
cg12448957,TMEM63B,,,,,,,-0.780688356,-0.033344571
cg12456170,POU4F2,,,,,,,0.465777195,0.033972461
cg12529140,NLK,,,,,,,-0.013487035,-0.046524006
cg12537546,RNASEK,,,,,,,-0.344537446,-0.013986687
cg12564910,SOCS3,,,,,,,0.121025571,0.010604974
cg12644878,BRPF1,,,,,,,1.088960062,0.130707921
cg12743986,FAM71D,,,,,,,0.007147596,0.006361223
cg12757011,gene:ENSHGLG00100019606,,,,,,,1.204818455,0.104671307
cg12849734,CTNNBL1,,,,,,,-0.020302656,-0.008502
cg12867675,LDB1,,,,,,,1.458627159,0.078090452
cg12908948,CADM1,,,,,,,0.097276634,0.008418953
cg13158272,MIDEAS,,,,,,,-0.041536431,-0.004443551
cg13222741,gene:ENSHGLG00100020380,,,,,,,0.035120043,0.002211134
cg13235828,FGFR2,,,,,,,0.568892167,0.002895445
cg13246416,TNPO2,,,,,,,-0.569349513,-0.100516316
cg13340108,NPEPL1,,,,,,,-2.088388787,-0.198407713
cg13447705,SLC6A5,,,,,,,-0.124209172,-0.0063803
cg13448572,ABI2,,,,,,,-0.00185356,-0.016021192
cg19946506,LNPK,,,,,,,0.144666021,0.021775559
cg13621099,LHX4,,,,,,,0.067095421,0.011957865
cg13647620,IFNGR1,,,,,,,0.031308461,0.002615947
cg13669200,FOXP4,,,,,,,-1.854214613,-0.239424782
cg13673047,EGR3,,,,,,,-0.237401714,-0.181197594
cg13690286,STARD10,,,,,,,-0.455646513,-0.068740112
cg13828719,NRXN2,,,,,,,-0.136513178,-0.081017522
cg13871255,CALCOCO1,,,,,,,-0.001522691,-0.001653134
cg13932197,SON,,,,,,,-0.699745078,-0.085113977
cg14002601,BTRC,,,,,,,0.011161461,0.005391672
cg14037413,ZNF143,,,,,,,0.625687808,0.084902791
cg14056866,POLG,,,,,,,-0.188465847,-0.027793282
cg14155184,TMEM63B,,,,,,,-0.61949768,-0.075410145
cg14338113,MYL9,,,,,,,0.701853495,0.032149744
cg14383179,AGAP3,,,,,,,0.071837874,0.001642834
cg14401402,MEIS2,,,,,,,0.273018778,0.00022974
cg14403768,ZIC1,,,,,,,-0.289780655,-0.03356496
cg14428370,POU4F1,,,,,,,-0.001318154,-0.003196648
cg14451207,HSD17B12,,,,,,,1.774912169,0.407784688
cg21536129,TIMM44,,,,,,,0.246520761,0.06573897
cg14498322,SORL1,,,,,,,-0.137756991,-0.022584368
cg14613677,HIVEP3,,,,,,,-8.35e-05,-0.002460704
cg14641268,PAK3,,,,,,,0.105848549,0.017647957
cg14781469,RASSF8,,,,,,,-0.711112104,-0.040295067
cg14870509,FANCL,,,,,,,-8.31e-05,-0.000926284
cg22044223,HIF1AN,,,,,,,-0.024852551,-0.000407983
cg15091323,BCL11A,,,,,,,0.395593107,0.059051377
cg15112775,KCNIP2,,,,,,,-0.80917152,-0.045140906
cg15183682,AUTS2,,,,,,,0.134665654,0.010894653
cg15253243,TMEM198,,,,,,,2.346349115,0.219381384
cg15262576,CALCOCO1,,,,,,,-0.301775046,-0.01859914
cg15471499,LMX1B,,,,,,,-0.311073412,-0.040041191
cg15548893,OLFML3,,,,,,,-2.046410516,-0.062084232
cg15578619,MRM1,,,,,,,0.093245281,0.011256759
cg15582951,ZBTB10,,,,,,,-0.58218102,-0.059634429
cg15618712,PDE3A,,,,,,,-0.331831473,-0.029127312
cg15684287,DMRTA2,,,,,,,-0.444452281,-0.023536962
cg15771070,FOXO6,,,,,,,-0.154399806,-0.034439717
cg15962375,gene:ENSHGLG00100020696,,,,,,,-0.172587331,-0.014484622
cg15985481,KIF26B,,,,,,,-0.112527415,-0.019037723
cg16023341,CADPS2,,,,,,,0.140728146,0.015682738
cg16032864,NAA11,,,,,,,0.620005412,0.055912627
cg16064137,LMO1,,,,,,,0.194940411,0.001117349
cg23223379,TRIB2,,,,,,,0.083061309,0.012951499
cg16371518,AMBRA1,,,,,,,0.307513477,0.046227831
cg16404365,LMO1,,,,,,,0.500864146,0.034594652
cg16604235,FOXP4,,,,,,,-0.006137782,-0.002758208
cg16632407,PCDH9,,,,,,,-0.206627722,-0.019594154
cg16688387,CDK15,,,,,,,-0.112501835,-0.006953705
cg17012009,USP5,,,,,,,-0.003249396,-0.003546423
cg17115006,GPR6,,,,,,,0.358882899,0.060879115
cg17173497,LDB2,,,,,,,-0.178578667,-0.009278011
cg17179099,APPBP2,,,,,,,-3.842806495,-0.410473185
cg17189172,KLHL29,,,,,,,0.159059336,0.036681499
cg17196551,UNC5A,,,,,,,0.377560816,0.052049052
cg17219472,SLC25A12,,,,,,,-0.519632459,-0.097405996
cg17226346,SPDEF,,,,,,,0.312883866,0.036291659
cg23985931,POU4F1,,,,,,,0.315300797,0.032623524
cg17331712,SRGAP1,,,,,,,-0.298769783,-0.043490218
cg17341782,TMEM33,,,,,,,-0.000412851,-0.002205821
cg17415555,TMTC2,,,,,,,-1.766421372,-0.232313607
cg17443147,ZFHX3,,,,,,,0.148850828,0.008715499
cg17458251,CDH24,,,,,,,-1.138833453,-0.104446959
cg17659328,POLG,,,,,,,-0.076103155,-0.005404586
cg17890349,EYA2,,,,,,,-0.44993311,-0.015185738
cg17923358,RELN,,,,,,,-0.003167089,-0.03500884
cg17986111,LRRTM1,,,,,,,-0.120746842,-0.095400269
cg18081750,DUSP6,,,,,,,-3.647608098,-0.617200212
cg18141729,HOXA11,,,,,,,0.011401397,0.006218512
cg18200760,NTNG1,,,,,,,-1.384058033,-0.001838003
cg18223258,ISL1,,,,,,,-0.881056114,-0.033328305
cg18230281,RAB39B,,,,,,,0.003122075,5.16e-06
cg18255911,PRRC2C,,,,,,,-1.279877111,-0.086547498
cg18304538,OTP,,,,,,,0.33565027,0.048823115
cg18321911,PAH,,,,,,,0.217559122,0.028787765
cg18473521.1,HOXC4,,,,,,,0.41427644,0.055588433
cg18473521.2,HOXC4,,,,,,,0.063593294,0.002155733
cg18502834,EGR3,,,,,,,-1.958276568,-0.236492358
cg18533392,CPEB4,,,,,,,-0.125825054,-0.015189285
cg18588934,PTPA,,,,,,,-0.396916182,-0.056886342
cg18629679,UMPS,,,,,,,0.0624145,0.024344485
cg18753125,FGR,,,,,,,-1.393041242,-0.179002449
cg18797081,ERI3,,,,,,,0.376775652,0.044786487
cg18888015,SLC25A4,,,,,,,-0.167401437,-0.031947831
cg18961099,PYGM,,,,,,,-0.4777542,-0.018267638
cg19095868,RBM12B,,,,,,,-0.214108054,-0.002663749
cg25965355,TENM4,,,,,,,-0.210950797,-0.015135474
cg19314546,FOXP4,,,,,,,-0.171308951,-0.032155291
cg26158731,RERE,,,,,,,0.593191644,0.06361796
cg19425332,SLC18A2,,,,,,,-0.052659322,-0.06662884
cg19591642,SLC5A11,,,,,,,-0.779632201,-0.074878476
cg19626073,RHBDF1,,,,,,,-0.475334285,-0.058059369
cg19723657,GPC5,,,,,,,0.040526605,6.44e-05
cg19839218,RREB1,,,,,,,-0.030420418,-0.046660646
cg26556243,SON,,,,,,,-0.240499936,-0.105761681
cg20049544,CNOT6L,,,,,,,-0.097409659,-0.010113038
cg20073376,RALGAPB,,,,,,,-0.171220629,-0.000191484
cg26677826,RNF220,,,,,,,-0.00858059,-0.005807278
cg20096563,EGR3,,,,,,,-0.318060443,-0.058254489
cg20118823,TCF3,,,,,,,0.288620297,0.002484492
cg20221627,STIM1,,,,,,,-1.051223095,-0.17919109
cg20670041,KDM3B,,,,,,,-0.43759387,-0.065766384
cg20709200,PRKCE,,,,,,,-0.757244453,-0.085141914
cg20728066,PSME3,,,,,,,-1.082000732,-0.162202438
cg27168029,CDC27,,,,,,,-0.129574333,-0.022287842
cg20784465,MED14,,,,,,,-0.224666637,-0.043525515
cg27205362,ADAMTS6,,,,,,,-0.62537404,-0.079672039
cg20913114,ZFAND2A,,,,,,,0.12700867,0.014473983
cg21057587,VSX2,,,,,,,-5.93e-05,-0.008924878
cg21081239,CADM1,,,,,,,-0.161816582,-0.013465095
cg21323387,KCNJ9,,,,,,,-0.107525748,-0.025981148
cg21387328,ZNF438,,,,,,,-0.116475617,-0.00132432
cg27376149,NOL4,,,,,,,-0.069001672,-0.041258514
cg21510166,PAX2,,,,,,,0.000949943,0.034080439
cg27551316,TCF7L2,,,,,,,0.708186255,0.160466872
cg21596317,PAM,,,,,,,2.426176909,0.351034066
cg27564788,gene:ENSHGLG00100020380,,,,,,,0.381731062,0.033216157
cg21815434,gene:ENSHGLG00100020570,,,,,,,-0.002761764,-0.016581321
cg21816821,SLC7A8,,,,,,,0.207506053,0.049772364
cg21826256,MAPKAP1,,,,,,,-0.633799385,-0.050076667
cg21913180,ZNF618,,,,,,,0.037417022,0.019935427
cg22032867,HOXA7,,,,,,,-0.200288714,-0.01187848
cg22100382,ACVR2A,,,,,,,0.130266287,0.016421432
cg22171829.2,PDK4,,,,,,,-0.210872716,-0.030410043
cg22358580,HOXC5,,,,,,,1.772355959,0.187678296
cg22443103,PKNOX2,,,,,,,-0.233183675,-0.031698331
cg22452485,KDM2A,,,,,,,-0.594528202,-0.104505989
cg22464182,ACVR2A,,,,,,,-0.909868428,-0.108426824
cg22515205,AKTIP,,,,,,,-0.330238222,-0.039190117
cg22536132,CUX1,,,,,,,0.080036746,0.008987654
cg22669570,CDH7,,,,,,,0.161263979,0.028595186
cg22763089,ESRRG,,,,,,,-0.105453848,-0.004455854
cg22952564,ZSWIM6,,,,,,,-0.211612161,-0.034162456
cg23003419,NFIA,,,,,,,-0.061038164,-0.033505723
cg23075119,LTBP3,,,,,,,-0.323770304,-0.003680403
cg23127199,NFX1,,,,,,,-0.875186915,-0.117910529
cg25304608,CADM2,,,,,,,0.758253966,0.056162765
cg25356878,ZNF521,,,,,,,-1.847336363,-0.264765654
cg23405680,NR2F2,,,,,,,-0.359611572,-0.011280102
cg25485747,LRMDA,,,,,,,-0.068228812,-0.008020964
cg23449274,AMBRA1,,,,,,,0.768743913,0.0675023
cg23463050,DOK3,,,,,,,-0.001365965,-0.023092777
cg23662675,EYA2,,,,,,,0.776988814,0.042045149
cg23662713,gene:ENSHGLG00100020165,,,,,,,-0.034595237,-0.001516959
cg23681938,CELF4,,,,,,,0.00943127,0.003633684
cg23687194,MBOAT1,,,,,,,0.11660648,0.015554008
cg23691177,FANCL,,,,,,,0.151727533,0.007793474
cg23752476,ZBTB20,,,,,,,0.026045452,0.005851327
cg23841180,LAMC1,,,,,,,0.002969229,0.002661579
cg23930466,ME3,,,,,,,-0.261793527,-0.035893305
cg26048456,PCDH9,,,,,,,-0.018821053,-0.029122839
cg24089067,MRM1,,,,,,,0.557204743,0.06288723
cg24098248,RNF220,,,,,,,0.010107515,0.006728699
cg26245705,gene:ENSHGLG00100019632,,,,,,,-0.10228852,-0.010243872
cg24231456,ENOX1,,,,,,,0.192852661,0.018037298
cg24260138,YLPM1,,,,,,,-1.458410968,-0.046301688
cg24396988,Calm1,,,,,,,-0.051831767,-0.004595532
cg24462233,NOP56,,,,,,,0.41064904,0.084321452
cg24491929,SRRM2,,,,,,,-0.725472464,-0.148713128
cg24504442,MEIS2,,,,,,,1.211931435,0.118271821
cg24534517,HOXC4,,,,,,,-0.332210342,-0.027415011
cg24546207,ZNF608,,,,,,,0.153032262,0.012250299
cg24595223,LHX2,,,,,,,0.358970829,0.051302961
cg24644551,PRDM13,,,,,,,0.730649935,0.105259805
cg24712893,NPAS3,,,,,,,-0.128420894,-0.013621364
cg25699407,MBOAT1,,,,,,,0.024336634,0.008891882
cg25073742,ANAPC5,,,,,,,0.523539622,0.096103284
cg25149191,PRC1,,,,,,,2.283630177,0.32061522
cg25184738,ACVR2A,,,,,,,-1.344352472,-0.225193593
cg25276324,DYRK1A,,,,,,,0.401223266,0.061869632
cg25291023,CRK,,,,,,,-0.798042452,-0.157390557
cg27109335,PTPRA,,,,,,,0.577432357,0.075483129
cg27152642,MBNL2,,,,,,,-0.162268227,-0.128791069
cg25395799,RORA,,,,,,,-0.030128342,-0.002901403
cg27205180,MAB21L1,,,,,,,0.094770451,0.01176269
cg25592314,CBLN1,,,,,,,-0.008582204,-0.007417244
cg26228214,AUTS2,,,,,,,0.012966128,0.000771223
cg25751973,POLR3A,,,,,,,-0.294171071,-0.068500879
cg25799256,HOXC4,,,,,,,0.1515376,0.024712406
cg25896754,WRAP53,,,,,,,-6.390888659,-0.591432044
cg25918248,RNASEK,,,,,,,-0.000239217,-0.000446633
cg26495571,DAZAP1,,,,,,,-0.000342621,-0.024923688
cg25922845,ZEB2,,,,,,,-0.854033076,-0.08956664
cg25947654,AP3B1,,,,,,,-0.202972398,-0.016164576
cg27656592,VSNL1,,,,,,,-1.051222595,-0.171241847
cg26097093,RNF220,,,,,,,0.04847852,0.022124791
cg27216483,SLC5A11,,,,,,,-2.071142137,-0.138877326
cg26699785,FANCL,,,,,,,-0.231457995,-0.028905053
cg26284526,SALL1,,,,,,,-0.053087296,-0.007197659
cg26301436,HOXB8,,,,,,,0.157326279,0.012904403
cg26360901,CHD3,,,,,,,0.41445543,0.062470065
cg26391562,ZNF438,,,,,,,-0.382637812,-0.036608917
cg27070413,SPNS3,,,,,,,-1.430040389,-0.200701063
cg26548760,OLFML2A,,,,,,,0.505771936,0.081346435
cg27248455,ALOXE3,,,,,,,-0.834588431,-0.066331582
cg26603448,PCCB,,,,,,,0.323271153,0.1620936
cg26651528,NHS,,,,,,,0.180093042,0.03500107
cg26903477,E2F3,,,,,,,5.991665428,0.711891662
cg27313020,AMZ2,,,,,,,0.840893548,0.047712103
cg26869371,FGF7,,,,,,,-0.099963992,-0.009289801
cg27286591,TSHZ3,,,,,,,0.104251923,0.025169041
cg27300575,BIRC3,,,,,,,1.590321968,0.199634821
cg27386817,RNF220,,,,,,,-0.150973244,-0.019104818
V16900,,,1.225501249,,,,,,
V8543,,,0.937594087,,,,,,
V1170,,,-0.218395377,,,,,,
V16995,,,-1.585377162,,,,,,
V17415,,,-5.232813004,,,,,,
V17421,,,6.434565768,,,,,,
V9365,,,-0.883367283,,,,,,
V9701,,,-4.396655105,,,,,,
V2524,,,-0.996865922,,,,,,
cg19369305,NMS,-1.144438531,,,,,,-0.000336042,
V10155,,,0.818055448,,,,,,
V10911,,,3.24651689,,,,,,
V11368,,,-4.416138961,,,,,,
V3846,,,4.169442925,,,,,,
V11631,,,8.646544978,,,,,,
V4290,,,2.202839969,,,,,,
V21146,,,-0.476891637,,,,,,
cg20751146,GABRA4,,,,0.869205003,,,-0.055342621,
V21811,,,-1.977875449,,,,,,
V29995,,,-0.175004062,,,,,,
V5410,,,11.95126554,,,,,,
V22094,,,-0.339431796,,,,,,
cg21676597,NFIB,-0.091920389,,,,,,,
V22333,,,-2.598674404,,,,,,
cg22400231,EVX2,8.336324317,,1.374679283,,,,,
cg02532525,HIC1,,,0.641434335,2.326247671,0.174283991,3.22375794,,
V23099,,,-0.240596868,,,,,,
cg25033393,PKN2,0.442014717,,,,,,,
V5968,,,-1.470008451,,,,,,
cg01752243,HSD17B12,7.878959499,,,,,17.91007873,,
cg01398352,ZNF462,-1.131708682,,,,,,,
V6713,,,2.76957191,,,,,,
V6776,,,0.39507464,,,,,,
cg02524931,MSH2,0.211918187,,,,,,,
cg27181123,MSL1,-2.151816672,,,,,,,
cg03668274,HOXC5,1.374971593,,,,,,,
V170,,,0.152768191,,,,,,
V207,,,-0.46720654,,,,,,
cg05532671,gene:ENSHGLG00100019632,0.482857629,,,,,,,
cg21307980,SLC17A6,0.031418324,,,,4.912979599,,,
cg07990641,RNF145,4.717232975,,,,,,,
V763,,,0.713663378,,,,,,
cg09816912,HS3ST5,7.399331717,,,,,,,
cg26260350,OTX1,7.886105566,,,,8.493198408,,,
V1311,,,-4.80307559,,,,,,
V1917,,,-0.0794271,,,,,,
V2004,,,-3.024173464,,,,,,
cg13182287,ROMO1,-0.191628892,,,,,,,
cg13303724,FCHO2,-1.154915371,,,,,,,
cg05173279,KCNN2,7.333767422,,0.799390423,4.888280489,,,,
V2635,,,-1.849333175,,,,,,
cg15247199,SKIDA1,0.112913565,,,,,,,
cg16030772,ZBTB20,-0.102727756,,,,,,,
cg18160762,NLGN2,-0.303429658,,,,,,,
cg12451099,SLC32A1,0.378117164,,,3.964182011,,,,
cg19893145,ELOVL7,-0.475814537,,,,,,,
cg18897683,KCNN2,,,4.191027021,0.343778938,,,,
V4544,,,-1.944279586,,,,,,
cg20411049,RSF1,0.590521603,,,,,,,
V5258,,,-6.101136007,,,,,,
V12927,,,0.63530952,,,,,,
